date,symbol,catalyst,why_it_matters,bullish_scenario,bearish_scenario,source_url
PLACEHOLDER-WED-WEEKLY,CL,EIA Weekly Petroleum Status Report (crude inventories),Weekly stock changes drive near-term supply/demand balance and price.,Larger-than-expected crude/product draw,Larger-than-expected build,https://www.eia.gov/petroleum/supply/weekly/
PLACEHOLDER-TUE-WEEKLY,CL,API Weekly Statistical Bulletin (inventories),Previews the EIA report; can move price after the close.,API reports a draw,API reports a build,https://www.api.org/products-and-services/statistics
PLACEHOLDER-MONTHLY,CL,OPEC+ meeting / production decision,Sets the supply baseline via quotas and spare-capacity guidance.,Cuts extended or deepened,Output increased / cuts unwound,https://www.opec.org/opec_web/en/publications/338.htm
PLACEHOLDER-MONTHLY,CL,EIA STEO + IEA/OPEC monthly reports,Update global supply/demand balances and forecasts.,Tighter balances / demand upgrades,Looser balances / demand downgrades,https://www.eia.gov/outlooks/steo/
PLACEHOLDER-EVENT,CL,Geopolitical / supply-disruption events,Can add or remove a risk premium quickly.,Escalation threatening supply,De-escalation / no barrels lost,https://www.iea.org/topics/oil-market-report
PLACEHOLDER-8WEEKS,ES,FOMC meeting & statement,Sets the policy-rate path and risk sentiment; SEP/dots quarterly.,Dovish guidance / cuts signaled,Hawkish hold / higher-for-longer,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
PLACEHOLDER-MONTHLY,ES,CPI inflation release,Key inflation gauge driving Fed expectations and yields.,Cooler-than-expected print,Hotter-than-expected print,https://www.bls.gov/cpi/
PLACEHOLDER-MONTHLY,ES,PCE inflation (Fed's preferred gauge),Directly informs the Fed's reaction function.,Core PCE cools,Core PCE firms,https://www.bea.gov/data/personal-consumption-expenditures-price-index
PLACEHOLDER-1ST-FRIDAY,ES,Nonfarm Payrolls (Employment Situation),Anchors the growth/labor and soft-landing read.,"Goldilocks: solid jobs, cooling wages",Too hot (hawkish) or sharp deterioration (growth scare),https://www.bls.gov/news.release/empsit.toc.htm
PLACEHOLDER-WEEKLY,ES,Initial jobless claims,High-frequency labor pulse.,Low/stable claims (resilient labor),Rising claims (slowdown signal),https://www.dol.gov/ui/data.pdf
PLACEHOLDER-MONTHLY,ES,ISM Manufacturing & Services PMI,Leading growth indicators.,Expansion (>50) with easing prices,Contraction with sticky prices,https://www.ismworld.org/supply-management-news-and-reports/reports/
PLACEHOLDER-QUARTERLY,ES,Mega-cap earnings & triple-witching OpEx,Mega-cap results drive index EPS; quarterly OpEx affects positioning/flows.,Beats + raised guidance,Misses / guidance cuts; OpEx volatility,https://www.cmegroup.com/markets/equities/sp/e-mini-sandp500.html
